いつ
何曜日
会社員
銀行員
自己紹介
誕生日
先々週
郵便局
映画館
チーズケーキ
駐車場
何階
何時
男の人
女の人
朝ご飯
昼ご飯
晩ご飯
小籠包
お寿司
お酒
先々月
中華料理
スマートフォン
お祭り
お兄さん
お姉さん
パイナップルケーキ
母の日
お客さん
花火大会
貸出カード
携帯電話
お箸
お皿
遊園地
東京スカイツリー
コピー機
暗証番号
高速バス
お土産
保険証
ラーメン屋
横断歩道
動物園
中華街
研究者
お手洗い
ケーキ屋
履歴書
海鮮丼
何名
チェックアウト
旅行会社
交流会
泡だて器
ドリンクホルダー
お風呂
定期券
特急券
航空便
宅配便
親子丼
身分証
説明書
天気予報
何カ月
課外活動
日焼け止め
証明写真
何回
展覧会
満員電車
美容院
何時間
何週間
かけなおす
成人式
ジャパンレールバス
アルコールハラスメント
懐中電灯
インスタントラーメン
気がつく
目覚まし時計
管理会社
報告書
